text,gen_label,category,target_type,source_topic
It's so nice to see that you've been taking care of yourself! Your waistline is getting thinner every day.,1,backhanded_compliment,individual,weight
Your weight loss journey is truly inspiring! I wish I could look as good as you do after shedding all those pounds.,1,backhanded_compliment,individual,weight
"I love how slim you've become! You really know how to keep those scales in check, don't you?",1,backhanded_compliment,individual,weight
You've clearly been hitting the gym hard! It's great to see someone so dedicated to losing weight and getting healthy.,1,backhanded_compliment,individual,weight
Your new look is so refreshing! Must be all the jogging and clean eating that's helping you slim down.,1,backhanded_compliment,individual,weight
You look amazing these days! It's like your body has a new lease on life. Keep it up!,1,backhanded_compliment,individual,weight
"Oh my, you've really transformed yourself! I'm impressed by your discipline and dedication to losing weight.",1,backhanded_compliment,individual,weight
I noticed you've been looking a lot slimmer lately. Are you sure you're not just wearing baggy clothes to hide your weight loss?,1,backhanded_compliment,individual,weight
You must be really proud of how far you've come in your weight loss journey! It's truly inspiring to see you transform yourself like this.,1,backhanded_compliment,individual,weight
"Wow, your weight loss is really starting to show! It's like you're a completely different person now. Great job!",1,backhanded_compliment,individual,weight
Did you hear? Jane ate an entire cheesecake last night. I can't believe she's trying to lose weight!,1,rumor_spreading,individual,weight
"I bet Mark couldn't resist that double cheeseburger at lunch today. He's always watching his weight, right?",1,rumor_spreading,individual,weight
Can you believe Susan ordered extra fries with her salad? What's she trying to hide?,1,rumor_spreading,individual,weight
Lisa's trying to lose weight but her sweet tooth is getting the best of her. Just saw her sneaking chocolates yesterday!,1,rumor_spreading,individual,weight
"Tom said he's cutting back on junk food, but I saw him chowing down on some fried chicken earlier today. Looks like his diet isn't going as planned!",1,rumor_spreading,individual,weight
Did anyone notice John wolfing down a large pizza by himself yesterday? Wonder if he's trying to get back to his old weight...,1,rumor_spreading,individual,weight
"Saw Mary having ice cream at the gym today. Trying to lose weight, right?",1,rumor_spreading,individual,weight
"Bob's trying to stay fit, but I caught him eating a whole cake at the office party. How does he expect to see results?",1,rumor_spreading,individual,weight
I heard Alice is having trouble sticking to her diet. Caught her eating a bag of chips yesterday. Guess she's not as disciplined as she pretends!,1,rumor_spreading,individual,weight
Can't believe Sarah is still struggling to lose weight. I saw her indulging in some fast food earlier today.,1,rumor_spreading,individual,weight
"Wow, I can't even believe you just ate a whole pizza by yourself. Must be nice to have the metabolism of a hummingbird.",1,implicit_mockery,individual,weight
Can you wear a hazmat suit to keep your pizza breath from poisoning the rest of us? Just asking for a friend.,1,implicit_mockery,individual,weight
I just don't understand how you can eat that much and not gain any weight. It's like you have some sort of superpower.,1,implicit_mockery,individual,weight
"You must be a real fan of the clean-plate club, huh?",1,implicit_mockery,individual,weight
"I wonder if you're eating for two, or if you're just really into calorie counting and portion control.",1,implicit_mockery,individual,weight
"Did you know that according to some studies, eating pizza is actually good for weight loss? Just sayin', maybe you should give it a try.",1,implicit_mockery,individual,weight
I heard the key to weight loss is to just eat as much pizza as you can. Maybe you should give that a shot.,1,implicit_mockery,individual,weight
I see you've discovered the secret to weight loss - just eat like you're never going to eat again. Genius!,1,implicit_mockery,individual,weight
"You know, if we all started eating like you do, we could probably solve the world hunger crisis.",1,implicit_mockery,individual,weight
"I'm not trying to be rude, but you must have some sort of superhuman metabolism to eat that much and not gain a single pound.",1,implicit_mockery,individual,weight
Your self-indulgence has caused you to balloon into an unattractive and unhealthy state.,1,explicit_insult_clean,individual,weight
"You have become nothing but a fat, pathetic excuse for a human being.",1,explicit_insult_clean,individual,weight
"You're a walking disaster, and your weight is a testament to your inability to take care of yourself.",1,explicit_insult_clean,individual,weight
"You're nothing but a fat blob, incapable of doing anything productive due to your unhealthy lifestyle.",1,explicit_insult_clean,individual,weight
How can anyone take you seriously when you're the size of a house?,1,explicit_insult_clean,individual,weight
"You've become a living, breathing joke. You should be ashamed of yourself.",1,explicit_insult_clean,individual,weight
Your weight is a clear indicator of your laziness and lack of self-discipline.,1,explicit_insult_clean,individual,weight
"You're a walking disaster, and your weight is a testament to your inability to take care of yourself.",1,explicit_insult_clean,individual,weight
You better stop eating junk or I'll make sure everyone sees it and laughs at you.,1,threat_clean,individual,weight
"Just wait until the next school dance, no one will want to dance with the fat kid.",1,threat_clean,individual,weight
Don't think you can go out in public without people staring and laughing at your fat body.,1,threat_clean,individual,weight
"Everyone will know you're the chubby kid who can't control their eating, and they'll always tease you about it.",1,threat_clean,individual,weight
Want to go to the pool this weekend? You're going to stand out like a sore thumb in that bikini.,1,threat_clean,individual,weight
"You're too fat to even go on the school trip, everyone will be laughing at you when they hear.",1,threat_clean,individual,weight
"You're such a joke, the only time people will want to talk to you is to make fun of how fat you are.",1,threat_clean,individual,weight
Everyone will see your fat body in that outfit and you'll be the laughing stock of the party.,1,threat_clean,individual,weight
We'll make sure no one will want to be your friend if you don't start losing weight.,1,threat_clean,individual,weight
"Don't think you can join the sports team, you're too slow and fat to be any good.",1,threat_clean,individual,weight
I can't stand the way Mary talks when she's trying to lose weight. Such self-centeredness!,1,social_exclusion,individual,weight
It's just so annoying when John complains about not being able to eat what he wants while trying to shed those extra pounds. Ugh.,1,social_exclusion,individual,weight
I really don't understand why Samantha keeps talking about her diet every day. Can't she ever just eat normally?,1,social_exclusion,individual,weight
I'm so over hearing about Bethany's weight loss journey. Can't she just leave it alone already?,1,social_exclusion,individual,weight
"When Tommy talks about his weight loss goals, it just makes me roll my eyes. Like, do you have to broadcast everything?",1,social_exclusion,individual,weight
Kimberly keeps bragging about how good she feels now that she's lost a few pounds. Can't she see how obnoxious that is?,1,social_exclusion,individual,weight
