section,metric,value,source_word,mutation_pool_size,mutations_selected,valid_contexts,unmatched_contexts,mutation,transformation,augmentation_level,sentence_variants_generated,count,percentage,category,original_count,augmented_count,total_count,text,reason,original_word,mutated_word,original_sentence,augmented_sentence
dataset,total_rows,16684,,,,,,,,,,,,,,,,,,,,,
dataset,unique_source_words,400,,,,,,,,,,,,,,,,,,,,,
dataset,pct_rows_source_word_in_text,91.54,,,,,,,,,,,,,,,,,,,,,
dataset,source_word_freq_mean,41.71,,,,,,,,,,,,,,,,,,,,,
source_word_selection,random_seed,42,,,,,,,,,,,,,,,,,,,,,
source_word_selection,total_unique_source_words,400,,,,,,,,,,,,,,,,,,,,,
source_word_selection,selected_source_words,snatch|bondage|assmunch|venus mound|fellatio|double penetration|dog style|butt|urophilia|blow your load|sultry women|pornography|bimbos|santorum|lovemaking|baby batter|babeland|bitches|dingleberry|dolcett,,,,,,,,,,,,,,,,,,,,,
mutation_statistics,,,snatch,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,bondage,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,assmunch,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,venus mound,30.0,8.0,36.0,6.0,,,,,,,,,,,,,,,,
mutation_statistics,,,fellatio,30.0,8.0,34.0,8.0,,,,,,,,,,,,,,,,
mutation_statistics,,,double penetration,30.0,8.0,41.0,1.0,,,,,,,,,,,,,,,,
mutation_statistics,,,dog style,30.0,8.0,35.0,7.0,,,,,,,,,,,,,,,,
mutation_statistics,,,butt,30.0,8.0,35.0,7.0,,,,,,,,,,,,,,,,
mutation_statistics,,,urophilia,30.0,8.0,41.0,1.0,,,,,,,,,,,,,,,,
mutation_statistics,,,blow your load,30.0,8.0,13.0,29.0,,,,,,,,,,,,,,,,
mutation_statistics,,,sultry women,30.0,8.0,24.0,18.0,,,,,,,,,,,,,,,,
mutation_statistics,,,pornography,30.0,8.0,35.0,7.0,,,,,,,,,,,,,,,,
mutation_statistics,,,bimbos,30.0,8.0,29.0,13.0,,,,,,,,,,,,,,,,
mutation_statistics,,,santorum,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,lovemaking,30.0,8.0,40.0,2.0,,,,,,,,,,,,,,,,
mutation_statistics,,,baby batter,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,babeland,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,bitches,30.0,8.0,40.0,2.0,,,,,,,,,,,,,,,,
mutation_statistics,,,dingleberry,30.0,8.0,31.0,11.0,,,,,,,,,,,,,,,,
mutation_statistics,,,dolcett,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,sna7ch,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,s_natch,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,sηatch,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,sn47ch,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,5na7ch,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,s natch,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,synatch,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,snatch,,,,,5n atc h,spacing_noise+leetspeak,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bodnage,keyboard_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bndage,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,b0nd_age,leetspeak+spacing_noise,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bondagе,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bondge,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,8ond4g3,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,b-ondage,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bolndage,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,assmun*ch,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,assmunceeh,insertion+repetition,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,assmujch,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,assmuinch,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,a5smunch,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,assmuncjh,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,assmunch,,,,,a55munch,leetspeak,moderate,3.0,,,,,,,,,,,,
