category,n,expected_label,error_rate,error_type,mean_prob_bully
genuine_compliment,98,0,0.11224489795918369,false_positive,0.08679094492168699
backhanded_compliment,90,1,0.11111111111111116,false_negative,0.8464501918979093
sarcasm_among_friends,254,0,0.07086614173228345,false_positive,0.05256539046806254
implicit_mockery,80,1,0.0625,false_negative,0.9251606145553524
threat,233,1,0.030042918454935674,false_negative,0.9601092043938815
topic_opinion_negative,346,0,0.028901734104046284,false_positive,0.022964304606656924
constructive_criticism,75,0,0.026666666666666616,false_positive,0.029003407607233384
manipulation_gaslighting,91,1,0.02197802197802201,false_negative,0.9737307164040241
venting_no_target,308,0,0.01948051948051943,false_positive,0.01775770965887559
targeted_insult_general,257,1,0.01945525291828798,false_negative,0.9734706845558484
targeted_insult_identity,224,1,0.017857142857142905,false_negative,0.9759988345587252
threat_clean,69,1,0.01449275362318836,false_negative,0.9742317273402992
neutral_statement,72,0,0.01388888888888884,false_positive,0.010696281790690895
pile_on_mob,78,1,0.012820512820512775,false_negative,0.9726054148318676
explicit_insult_clean,76,1,0.0,false_negative,0.9968564165265936
meta_commentary_condemning_bullying,71,0,0.0,false_positive,0.0034838763452901566
rumor_spreading,86,1,0.0,false_negative,0.9971405960792719
meta_commentary_condemning_hate,229,0,0.0,false_positive,0.0010158976445175472
social_exclusion,73,1,0.0,false_negative,0.9968093960252526
supportive_message,92,0,0.0,false_positive,0.0046028176839567805
