text,gen_label,category,target_type,source_topic,text_fr
It's so nice to see that you've been taking care of yourself! Your waistline is getting thinner every day.,1,backhanded_compliment,individual,weight,Il est si agréable de voir que vous avez pris soin de vous-même!
Your weight loss journey is truly inspiring! I wish I could look as good as you do after shedding all those pounds.,1,backhanded_compliment,individual,weight,Votre voyage de perte de poids est vraiment inspirant et je voudrais que je puisse apparaître aussi bon que vous après avoir ébranlé toutes ces livres.
"I love how slim you've become! You really know how to keep those scales in check, don't you?",1,backhanded_compliment,individual,weight,Je suis enchanté de voir à quel point il y a eu eu et à quel point il y a eu eu eu et il y a eu eu et il y a eu et il y a eu et il y a eu et il y a eu e
You've clearly been hitting the gym hard! It's great to see someone so dedicated to losing weight and getting healthy.,1,backhanded_compliment,individual,weight,Vous avez clairement frappé la salle de gym et c'est une vraie réussite pour quelqu'un qui s'est engagé à perdre du poids et à s'en assurer la santé.
Your new look is so refreshing! Must be all the jogging and clean eating that's helping you slim down.,1,backhanded_compliment,individual,weight,Vous avez l'impression de vous rafraîchir et de vous en tenir à l'aise.
You look amazing these days! It's like your body has a new lease on life. Keep it up!,1,backhanded_compliment,individual,weight,"Vous êtes étonnant à l'heure actuelle : c'est comme votre corps a un nouveau bâton de vie, et c'est à l'heure actuelle que vous allez en apercevoir!"
"Oh my, you've really transformed yourself! I'm impressed by your discipline and dedication to losing weight.",1,backhanded_compliment,individual,weight,Je suis impressionné par votre discipline et votre dévouement à perdre du poids.
I noticed you've been looking a lot slimmer lately. Are you sure you're not just wearing baggy clothes to hide your weight loss?,1,backhanded_compliment,individual,weight,Je remarquais que vous avez été beaucoup plus fléchis depuis peu : ne portez pas simplement des vêtements fléchis pour masquer votre perte de poids?
You must be really proud of how far you've come in your weight loss journey! It's truly inspiring to see you transform yourself like this.,1,backhanded_compliment,individual,weight,Vous devez être vraiment fier de l'étendue de votre parcours de perte de poids!
"Wow, your weight loss is really starting to show! It's like you're a completely different person now. Great job!",1,backhanded_compliment,individual,weight,Vous avez l'impression que vous êtes une personne complètement différente et que vous avez l'impression de vous en rendre à la maison.
Did you hear? Jane ate an entire cheesecake last night. I can't believe she's trying to lose weight!,1,rumor_spreading,individual,weight,"Vous avez eu l'impression que Jane a mangé une gâteaux de fromage entiers cette nuit, je ne peux pas croire qu'elle tente de perdre du poids!"
"I bet Mark couldn't resist that double cheeseburger at lunch today. He's always watching his weight, right?",1,rumor_spreading,individual,weight,"Je paris que Mark ne pouvait résister à ce double fromageburger au déjeuner aujourd'hui, et il regarde toujours son poids, et c'est dommage."
Can you believe Susan ordered extra fries with her salad? What's she trying to hide?,1,rumor_spreading,individual,weight,Vous pouvez croire que Susan a commandé des frites supplémentaires avec sa salade?
Lisa's trying to lose weight but her sweet tooth is getting the best of her. Just saw her sneaking chocolates yesterday!,1,rumor_spreading,individual,weight,Alors que c'est l'un des meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et les meilleurs et
"Tom said he's cutting back on junk food, but I saw him chowing down on some fried chicken earlier today. Looks like his diet isn't going as planned!",1,rumor_spreading,individual,weight,"Tom a dit qu'il s'en retranche sur les aliments en pâturage, mais j'ai vu le pâturage sur un poulet frit tôt aujourd'hui, et il semble que son régime ne se déroule pas comme prévu!"
Did anyone notice John wolfing down a large pizza by himself yesterday? Wonder if he's trying to get back to his old weight...,1,rumor_spreading,individual,weight," l'heure actuelle, il a eu l'occasion de s'en rendre à l'époque et de s'en rendre à l'époque."
"Saw Mary having ice cream at the gym today. Trying to lose weight, right?",1,rumor_spreading,individual,weight,Vous avez eu l'occasion de voir Mary en glace dans la salle de gym aujourd'hui.
"Bob's trying to stay fit, but I caught him eating a whole cake at the office party. How does he expect to see results?",1,rumor_spreading,individual,weight,"Bob essaie de rester en forme, mais je l'ai pris à manger un gâteau entier à la fête de bureau."
I heard Alice is having trouble sticking to her diet. Caught her eating a bag of chips yesterday. Guess she's not as disciplined as she pretends!,1,rumor_spreading,individual,weight,"Je l'ai entendu d'Alice s'arrêter à son régime alimentaire, elle a eu à manger un sac de puces hier, et elle n'est pas aussi disciplinée qu'elle prétend!"
Can't believe Sarah is still struggling to lose weight. I saw her indulging in some fast food earlier today.,1,rumor_spreading,individual,weight,Je ne peux pas croire que Sarah s'efforce encore de perdre du poids et j'ai vu elle s'alimenter rapidement aujourd'hui.
"Wow, I can't even believe you just ate a whole pizza by yourself. Must be nice to have the metabolism of a hummingbird.",1,implicit_mockery,individual,weight," l'heure actuelle, il y a eu un épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l'épisode de l"
Can you wear a hazmat suit to keep your pizza breath from poisoning the rest of us? Just asking for a friend.,1,implicit_mockery,individual,weight,Pouvez-vous porter un costume à l'arrière pour empêcher votre piquet de nous empoisonner?
I just don't understand how you can eat that much and not gain any weight. It's like you have some sort of superpower.,1,implicit_mockery,individual,weight,"Je ne comprends pas comment vous pouvez manger autant et ne pas perdre de poids, c'est comme si vous avez une superpuissance."
"You must be a real fan of the clean-plate club, huh?",1,implicit_mockery,individual,weight,"Vous devez être un véritable fan du club à l'état d'eau, huh?"
"I wonder if you're eating for two, or if you're just really into calorie counting and portion control.",1,implicit_mockery,individual,weight,Je me demande si vous mangeez deux fois ou si vous êtes vraiment en train de compter la calories et de contrôler les portions.
"Did you know that according to some studies, eating pizza is actually good for weight loss? Just sayin', maybe you should give it a try.",1,implicit_mockery,individual,weight,"Vous savez que, selon certaines études, la pizza est effectivement bonne pour la perte de poids, et il suffit de dire à l'avance, il vous faut peut-être l'essayer."
I heard the key to weight loss is to just eat as much pizza as you can. Maybe you should give that a shot.,1,implicit_mockery,individual,weight,"Je l'ai entendu dire que la clé de la perte de poids est de manger autant de pizza que possible, et peut-être devriez-vous donner une coupure à cette idée."
I see you've discovered the secret to weight loss - just eat like you're never going to eat again. Genius!,1,implicit_mockery,individual,weight,Je vois que vous avez découvert le secret de la perte de poids - manger comme vous ne l'allez jamais manger.
"You know, if we all started eating like you do, we could probably solve the world hunger crisis.",1,implicit_mockery,individual,weight,"Vous savez, si nous avons tous commencé à manger comme vous, nous pourrions probablement résoudre la crise mondiale de la faim."
"I'm not trying to be rude, but you must have some sort of superhuman metabolism to eat that much and not gain a single pound.",1,implicit_mockery,individual,weight,"Je ne veux pas être rude, mais vous devez avoir une sorte de métabolisme superhumain pour manger autant et pas gagner une seule livre."
Your self-indulgence has caused you to balloon into an unattractive and unhealthy state.,1,explicit_insult_clean,individual,weight,Votre auto-indulgence vous a poussé à s'envoler dans un état inattrayant et malsain.
"You have become nothing but a fat, pathetic excuse for a human being.",1,explicit_insult_clean,individual,weight,Vous n'êtes devenu qu'une excuse graisse et patérante pour un être humain.
"You're a walking disaster, and your weight is a testament to your inability to take care of yourself.",1,explicit_insult_clean,individual,weight,Vous êtes une catastrophe à pied et votre poids témoigne de votre incapacité à prendre soin de vous-même.
"You're nothing but a fat blob, incapable of doing anything productive due to your unhealthy lifestyle.",1,explicit_insult_clean,individual,weight,"Vous n'êtes qu'un bloque graisseux, incapable de faire quelque chose de productif en raison de votre mode de vie malsain."
How can anyone take you seriously when you're the size of a house?,1,explicit_insult_clean,individual,weight,Comment peut-on prendre au sérieux lorsque vous êtes la taille d'une maison?
"You've become a living, breathing joke. You should be ashamed of yourself.",1,explicit_insult_clean,individual,weight,"Vous êtes devenus une blague vivante et respirante, et vous devez vous honter."
Your weight is a clear indicator of your laziness and lack of self-discipline.,1,explicit_insult_clean,individual,weight,Votre poids est un indicateur clair de votre tasseur et de votre manque d'autodiscipline.
"You're a walking disaster, and your weight is a testament to your inability to take care of yourself.",1,explicit_insult_clean,individual,weight,Vous êtes une catastrophe à pied et votre poids témoigne de votre incapacité à prendre soin de vous-même.
You better stop eating junk or I'll make sure everyone sees it and laughs at you.,1,threat_clean,individual,weight,"Vous ne devez plus manger de l'enjeu, ou je veillerai à ce que tout le monde le voit et rire sur vous."
"Just wait until the next school dance, no one will want to dance with the fat kid.",1,threat_clean,individual,weight,"Il suffit d'attendre la prochaine danse scolaire, personne ne voudra danser avec l'enfant graisseux."
Don't think you can go out in public without people staring and laughing at your fat body.,1,threat_clean,individual,weight,Ne pensez pas que vous puissiez sortir en public sans que des gens fouillent et rire sur votre corps gras.
"Everyone will know you're the chubby kid who can't control their eating, and they'll always tease you about it.",1,threat_clean,individual,weight,"Tout le monde sait que vous êtes l'enfant chubby qui ne peut pas contrôler son alimentation, et il vous y te te te te te te te te te te te te te te te te te te te te te te te te te "
Want to go to the pool this weekend? You're going to stand out like a sore thumb in that bikini.,1,threat_clean,individual,weight,Vous allez s'étonner comme un fléau en bikini.
"You're too fat to even go on the school trip, everyone will be laughing at you when they hear.",1,threat_clean,individual,weight,"Vous êtes trop fatigué pour même aller à l'école, tout le monde vous rire quand il entend."
"You're such a joke, the only time people will want to talk to you is to make fun of how fat you are.",1,threat_clean,individual,weight,"Vous êtes une vraie plaisanterie, la seule fois que les gens voudront vous parler est de vous amuser de la graisse que vous êtes."
Everyone will see your fat body in that outfit and you'll be the laughing stock of the party.,1,threat_clean,individual,weight,Chacun va voir votre corps gras dans cet ensemble et vous serez le rire de la fête.
We'll make sure no one will want to be your friend if you don't start losing weight.,1,threat_clean,individual,weight,Nous ne ferons pas en sorte que personne ne voudra être votre ami si vous ne commencez pas à perdre du poids.
"Don't think you can join the sports team, you're too slow and fat to be any good.",1,threat_clean,individual,weight,"Ne pensez pas que vous puissiez rejoindre l'équipe sportive, vous êtes trop lent et trop gras pour être bon."
I can't stand the way Mary talks when she's trying to lose weight. Such self-centeredness!,1,social_exclusion,individual,weight,Je ne peux pas s'opposer à ce que Mary parle quand elle tente de perdre du poids.
It's just so annoying when John complains about not being able to eat what he wants while trying to shed those extra pounds. Ugh.,1,social_exclusion,individual,weight,C'est tout simplement tellement ennuiant que John se plaint de ne pas pouvoir manger ce qu'il veut tout en essayant de perdre ces livres supplémentaires.
I really don't understand why Samantha keeps talking about her diet every day. Can't she ever just eat normally?,1,social_exclusion,individual,weight,Je ne comprends pas pourquoi Samantha parle toujours de son régime quotidien et ne peut-elle jamais manger normalement?
I'm so over hearing about Bethany's weight loss journey. Can't she just leave it alone already?,1,social_exclusion,individual,weight,"Je suis si en ai l'audience de Bethany sur le voyage de perte de poids, et ne peut-elle pas simplement le laisser seul?"
"When Tommy talks about his weight loss goals, it just makes me roll my eyes. Like, do you have to broadcast everything?",1,social_exclusion,individual,weight,"Quand Tommy parle de ses objectifs en matière de perte de poids, il me fait simplement rouler les yeux."
Kimberly keeps bragging about how good she feels now that she's lost a few pounds. Can't she see how obnoxious that is?,1,social_exclusion,individual,weight,Kimberly ne cesse de se féliciter de l'aspect positif qu'elle ressent maintenant qu'elle a perdu quelques livres et ne voit pas à quel point il est nocif?
I'm sick of David constantly posting pictures of his weight loss progress. He's so full of himself.,1,social_exclusion,individual,weight,"Je suis malade de David afficher constamment des photos de son progrès en matière de perte de poids, et il est si plein de lui-même."
I don't know why Laura thinks she can wear a bikini after losing a few pounds. She looks ridiculous.,1,social_exclusion,individual,weight,"Je ne sais pas pourquoi Laura pense qu'elle peut porter un bikini après avoir perdu quelques livres, elle semble ridicule."
It's really obnoxious when Sarah keeps posting about how great she feels now that she's slimmed down. She's always trying to be better than everyone else.,1,social_exclusion,individual,weight,Elle a toujours essayé d'être meilleure que tout le monde.
Why does Jason always have to talk about how he's lost weight? It's like he thinks it's so special.,1,social_exclusion,individual,weight,Pourquoi Jason doit-il toujours parler de la façon dont il a perdu son poids?
"Hey, you know you've been trying to lose weight, right? Are you sure you're eating healthy?",1,manipulation_gaslighting,individual,weight,"Vous savez que vous avez essayé de perdre du poids, et êtes-vous sûr que vous mangeez en santé?"
"I thought you looked amazing when you joined the gym, but it looks like you've put on some weight lately. Are you still committed?",1,manipulation_gaslighting,individual,weight,"Je ne peux pas m'attendre à ce que l'on ne mette pas en évidence l'adhésion à la salle de gym, mais il semble que vous avez eu un peu de poids depuis peu."
"Your friends all said you lost weight and looked great, but I noticed you've been eating more junk food lately. You really need to watch that, don't you?",1,manipulation_gaslighting,individual,weight,"Vous avez tous dit que vous avez perdu le poids et semblé fabuleux, mais j'ai remarqué que vous avez consommé plus de nourriture en bétail depuis peu, et que vous avez vraiment besoin de l'observer, pas-ce?"
