text,gen_label,category,target_type,source_word,original_source_word,augmentation_type,augmentation_level,original_text,augmentation_id,augmentation_group_id,is_augmented,dataset_source
You're such a 'sna7ch' and you're making everyone's life miserable. What an idiot!,1,threat,individual,sna7ch,snatch,leetspeak,mild,You're such a 'snatch' and you're making everyone's life miserable. What an idiot!,AUG_000001,GRP_013665,1,explicit
I'm so frustrated with how life keeps sna7ching away the smallest joys.,0,venting_no_target,self,sna7ch,snatch,leetspeak,mild,I'm so frustrated with how life keeps snatching away the smallest joys.,AUG_000002,GRP_013678,1,explicit
"That movie was such a sna7ch of my time, I could have been doing something so much more productive.",1,topic_opinion_negative,object,sna7ch,snatch,leetspeak,mild,"That movie was such a snatch of my time, I could have been doing something so much more productive.",AUG_000003,GRP_013667,1,explicit
"In a world full of hate and s_natching, let's strive to be the change and support each other. Together, we can make a difference.",1,meta_commentary_condemning_hate,individual,s_natch,snatch,spacing_noise,mild,"In a world full of hate and snatching, let's strive to be the change and support each other. Together, we can make a difference.",AUG_000004,GRP_013684,1,explicit
Some people's obsession with s_natching and spreading hate is beyond comprehension. Let's work together to combat this toxicity.,1,meta_commentary_condemning_hate,group,s_natch,snatch,spacing_noise,mild,Some people's obsession with snatching and spreading hate is beyond comprehension. Let's work together to combat this toxicity.,AUG_000005,GRP_013680,1,explicit
Some people just s_natch the joy out of everything! They are so negative.,1,targeted_insult_identity,individual,s_natch,snatch,spacing_noise,mild,Some people just snatch the joy out of everything! They are so negative.,AUG_000006,GRP_013658,1,explicit
"That movie was such a sηatch of my time, I could have been doing something so much more productive.",1,topic_opinion_negative,object,sηatch,snatch,mixed_script,mild,"That movie was such a snatch of my time, I could have been doing something so much more productive.",AUG_000007,GRP_013667,1,explicit
"If you don't stop being such a 'sηatch', you'll never find a real friend. Just watch!",1,threat,individual,sηatch,snatch,mixed_script,mild,"If you don't stop being such a 'snatch', you'll never find a real friend. Just watch!",AUG_000008,GRP_013662,1,explicit
"My, my, you're such a sn47ch! But only when you're winning.",0,sarcasm_among_friends,individual,sn47ch,snatch,leetspeak,moderate,"My, my, you're such a snatch! But only when you're winning.",AUG_000009,GRP_013686,1,explicit
"Some individuals and groups use sn47ching and hate speech as a weapon, but it's time we call them out and work to eliminate this toxicity.",1,meta_commentary_condemning_hate,individual,sn47ch,snatch,leetspeak,moderate,"Some individuals and groups use snatching and hate speech as a weapon, but it's time we call them out and work to eliminate this toxicity.",AUG_000010,GRP_013683,1,explicit
"I had such high hopes for that new restaurant, but it turned out to be a total 5na7ch. The food was awful and overpriced.",1,topic_opinion_negative,object,5na7ch,snatch,leetspeak,moderate,"I had such high hopes for that new restaurant, but it turned out to be a total snatch. The food was awful and overpriced.",AUG_000011,GRP_013669,1,explicit
I can't believe you think you're so great. You're just a 5na7ch without any real talent.,1,targeted_insult_general,individual,5na7ch,snatch,leetspeak,moderate,I can't believe you think you're so great. You're just a snatch without any real talent.,AUG_000012,GRP_013652,1,explicit
"My, my, you're such a s natch! But only when you're winning.",0,sarcasm_among_friends,individual,s natch,snatch,spacing_noise,mild,"My, my, you're such a snatch! But only when you're winning.",AUG_000013,GRP_013686,1,explicit
"It's sad how much hate and s natching there is on the internet these days. We need to educate ourselves and others to promote a kinder, more empathetic world.",1,meta_commentary_condemning_hate,individual,s natch,snatch,spacing_noise,mild,"It's sad how much hate and snatching there is on the internet these days. We need to educate ourselves and others to promote a kinder, more empathetic world.",AUG_000014,GRP_013679,1,explicit
I can't believe you think you're so great. You're just a synatch without any real talent.,1,targeted_insult_general,individual,synatch,snatch,insertion,mild,I can't believe you think you're so great. You're just a snatch without any real talent.,AUG_000015,GRP_013652,1,explicit
It's heartbreaking how much synatching and hateful behavior is tolerated on social media platforms. It's time for a change.,1,meta_commentary_condemning_hate,self,synatch,snatch,insertion,mild,It's heartbreaking how much snatching and hateful behavior is tolerated on social media platforms. It's time for a change.,AUG_000016,GRP_013681,1,explicit
Can't believe these people 5n atc h away our freedom just because they disagree with us!,1,targeted_insult_identity,group,5n atc h,snatch,spacing_noise+leetspeak,heavy,Can't believe these people snatch away our freedom just because they disagree with us!,AUG_000017,GRP_013660,1,explicit
"It's so obvious you're trying to impress others, but you're just a 5n atc h pretending to be someone else.",1,targeted_insult_general,individual,5n atc h,snatch,spacing_noise+leetspeak,heavy,"It's so obvious you're trying to impress others, but you're just a snatch pretending to be someone else.",AUG_000018,GRP_013653,1,explicit
I can't believe she's a woman. How can someone with a vagina enjoy bodnage?,1,targeted_insult_identity,individual,bodnage,bondage,keyboard_noise,moderate,I can't believe she's a woman. How can someone with a vagina enjoy bondage?,AUG_000019,GRP_002383,1,explicit
"When we allow bodnage of hatred to control our thoughts, we become its puppet. We must fight against it.",1,meta_commentary_condemning_hate,individual,bodnage,bondage,keyboard_noise,moderate,"When we allow bondage of hatred to control our thoughts, we become its puppet. We must fight against it.",AUG_000020,GRP_002405,1,explicit
I've never been so mortified by someone's interest in bndage. What a pathetic loser you are.,1,targeted_insult_general,individual,bndage,bondage,deletion,mild,I've never been so mortified by someone's interest in bondage. What a pathetic loser you are.,AUG_000021,GRP_002375,1,explicit
bndage of bigotry can lead to hate speech. Let's learn to embrace diversity and set ourselves free.,1,meta_commentary_condemning_hate,individual,bndage,bondage,deletion,mild,Bondage of bigotry can lead to hate speech. Let's learn to embrace diversity and set ourselves free.,AUG_000022,GRP_002407,1,explicit
You should see yourself in bndage. What a pathetic sight!,1,threat,self,bndage,bondage,deletion,mild,You should see yourself in bondage. What a pathetic sight!,AUG_000023,GRP_002387,1,explicit
The b0nd_age of my routines and responsibilities is stifling my creativity and leaving me frustrated.,0,venting_no_target,self,b0nd_age,bondage,leetspeak+spacing_noise,heavy,The bondage of my routines and responsibilities is stifling my creativity and leaving me frustrated.,AUG_000024,GRP_002401,1,explicit
Why do gay people always have to wear skirts and chains? It's like they're into b0nd_age!,1,targeted_insult_identity,group,b0nd_age,bondage,leetspeak+spacing_noise,heavy,Why do gay people always have to wear skirts and chains? It's like they're into bondage!,AUG_000025,GRP_002380,1,explicit
